Year,Number of Parameters,Compute
2020,86000000,
2020,632000000,
2020,795000000,
2020,110000000,1.24E+020
2020,,
2020,2600000000,1.8E+021
2020,,
2020,,
2020,1500000000,2E+021
2021,3000000000000,1.1E+021
2021,1900000000,7.1E+021
2021,1500000000,
2021,8000000000,
2021,1600000000,
2021,260000000000,
2021,370000000,1.05E+022
2021,12000000000,4.7E+022
2021,88600000,
2021,1600000000000,8.22E+022
2021,137000000000,
2021,1680000,
2021,480000000,2.12E+023
2021,10000000000,
2021,100000000000,
2021,2600000000,
2021,1000000000,
2021,11300000000,
2021,,
2021,9400000000,
2021,1000000000000,
2021,2700000000,7.9E+021
2021,1000000000000,
2021,12000000000000,
2021,207000000000,5.83E+022
2021,6050000000,1.5E+022
2021,11000000000,7.37E+022
2021,204000000000,6.3E+022
2021,4000000000,2.68E+022
2021,,2.41E+019
2021,1750000000000,
2021,1800000000,3.4E+021
2021,256000000,1.6E+018
2021,820000000,2.15E+023
2021,10000000000,2.35E+018
2021,12000000000,
2021,1000000000,5.54E+021
2021,3500000,
2021,1300000000,4.42E+021
2021,,
2021,178000000000,3.7E+023
2021,10700000000,
2021,,
2021,135000000000,
2021,10000000000000,5.53E+021
2021,530000000000,1.35E+024
2021,11000000000,
2021,,
2021,,
2021,245000000000,4.1E+023
2021,280000000000,6.31E+023
2021,7500000000,
2021,3500000000,
2022,137000000000,3.55E+023
2022,,
2022,,
2022,,
2022,12000000000,
